id,name,artists,duration (ms),popularity,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6USdi8uX5GNAPYziFhisHb,What If I Told You That I Love You,Ali Gatie,193667,62,https://p.scdn.co/mp3-preview/1d6d7147c60a012c2d02f2f86323978e53ee30d0?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.596,0.366,7,-11.144,1,0.115,0.63,7.04e-06,0.0554,0.229,84.394,audio_features,spotify:track:6USdi8uX5GNAPYziFhisHb,https://api.spotify.com/v1/tracks/6USdi8uX5GNAPYziFhisHb,https://api.spotify.com/v1/audio-analysis/6USdi8uX5GNAPYziFhisHb,193668,4
6Pgmqg15yVexuOgtzuxwoX,Dancing in My Room,347aidan,180138,65,https://p.scdn.co/mp3-preview/773e7112a8b68bf0e104828685d57fb5b245408e?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.98,0.413,8,-11.052,0,0.101,0.671,7.95e-05,0.17,0.764,119.993,audio_features,spotify:track:6Pgmqg15yVexuOgtzuxwoX,https://api.spotify.com/v1/tracks/6Pgmqg15yVexuOgtzuxwoX,https://api.spotify.com/v1/audio-analysis/6Pgmqg15yVexuOgtzuxwoX,180139,4
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon,198370,79,https://p.scdn.co/mp3-preview/12200deba2a2f8126ff4430d35fec1be2969e87f?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,audio_features,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,https://api.spotify.com/v1/tracks/3FAJ6O0NOHQV8Mc5Ri6ENp,https://api.spotify.com/v1/audio-analysis/3FAJ6O0NOHQV8Mc5Ri6ENp,198371,3
563SfWAHJs4FBZMkRN0IFN,Send My Love (To Your New Lover),Adele,223078,71,https://p.scdn.co/mp3-preview/454f693eeb9b383539f5d26ecdc7cd44c6d20292?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.688,0.533,6,-8.363,0,0.0865,0.0355,3.48e-06,0.172,0.567,164.069,audio_features,spotify:track:563SfWAHJs4FBZMkRN0IFN,https://api.spotify.com/v1/tracks/563SfWAHJs4FBZMkRN0IFN,https://api.spotify.com/v1/audio-analysis/563SfWAHJs4FBZMkRN0IFN,223079,4
0YammaEkYSeo9vQYZ1OwS6,Say My Name,David Guetta,198946,65,https://p.scdn.co/mp3-preview/08d9f01f54c783b1a6ae7999d22013345c253b45?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.031,audio_features,spotify:track:0YammaEkYSeo9vQYZ1OwS6,https://api.spotify.com/v1/tracks/0YammaEkYSeo9vQYZ1OwS6,https://api.spotify.com/v1/audio-analysis/0YammaEkYSeo9vQYZ1OwS6,198947,4
58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,253390,75,https://p.scdn.co/mp3-preview/0fe3542d88da43dd131627df756ac1ce318713fd?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,253390,4
2dpaYNEQHiRxtZbfNsse99,Happier,Marshmello,214289,11,https://p.scdn.co/mp3-preview/a23fe33122a12a302b97c443ab82473ce55df8fd?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.011,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,214290,4
5DqdesEfbRyOlSS3Tf6c29,It's You,Ali Gatie,212606,74,https://p.scdn.co/mp3-preview/6e72053e14390cfe06f7516e289ef2a82383f986?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,audio_features,spotify:track:5DqdesEfbRyOlSS3Tf6c29,https://api.spotify.com/v1/tracks/5DqdesEfbRyOlSS3Tf6c29,https://api.spotify.com/v1/audio-analysis/5DqdesEfbRyOlSS3Tf6c29,212607,4
285HeuLxsngjFn4GGegGNm,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,192560,72,https://p.scdn.co/mp3-preview/bfdf41e3d62f4be205ae8438a6bf6048909dae9a?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,audio_features,spotify:track:285HeuLxsngjFn4GGegGNm,https://api.spotify.com/v1/tracks/285HeuLxsngjFn4GGegGNm,https://api.spotify.com/v1/audio-analysis/285HeuLxsngjFn4GGegGNm,192560,4
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,The Kid LAROI,161384,4,https://p.scdn.co/mp3-preview/0cacbf2acaef9fc50d9ecd1f29eb33e543a5bc63?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,audio_features,spotify:track:27OeeYzk6klgBh83TSvGMA,https://api.spotify.com/v1/tracks/27OeeYzk6klgBh83TSvGMA,https://api.spotify.com/v1/audio-analysis/27OeeYzk6klgBh83TSvGMA,161385,4
